,A030201_reg,A030202_reg,A030203_reg
2021,0.0,0.0,0.0
2020,0.0,0.0,0.0
2019,11.35,7.08,4.27
2018,11.54,7.0,4.54
2017,12.6,7.01,5.59
2016,12.04,6.97,5.07
2015,10.74,5.83,4.91
2014,11.86,6.96,4.9
2013,11.08,6.15,4.93
2012,11.0,6.12,4.88
2011,10.39,6.01,4.38
2010,10.36,6.02,4.34
2009,9.48,6.0,3.48
2008,9.21,6.5,2.71
2007,9.19,5.96,3.23
2006,9.08,5.95,3.13
2005,8.74,5.69,3.05
2004,8.43,6.03,2.4
2003,8.26,5.94,2.32
2002,8.38,6.17,2.21
2001,8.51,6.07,2.44
2000,9.71,6.01,3.7
1999,0.0,0.0,0.0
1998,0.0,0.0,0.0
1997,0.0,0.0,0.0
1996,0.0,0.0,0.0
1995,0.0,0.0,0.0
1994,0.0,0.0,0.0
1993,0.0,0.0,0.0
1992,0.0,0.0,0.0
1991,0.0,0.0,0.0
1990,0.0,0.0,0.0
1989,0.0,0.0,0.0
1988,0.0,0.0,0.0
1987,0.0,0.0,0.0
1986,0.0,0.0,0.0
1985,0.0,0.0,0.0
1984,0.0,0.0,0.0
1983,0.0,0.0,0.0
1982,0.0,0.0,0.0
1981,0.0,0.0,0.0
1980,0.0,0.0,0.0
1979,0.0,0.0,0.0
1978,0.0,0.0,0.0
1977,0.0,0.0,0.0
1976,0.0,0.0,0.0
1975,0.0,0.0,0.0
1974,0.0,0.0,0.0
1973,0.0,0.0,0.0
1972,0.0,0.0,0.0
1971,0.0,0.0,0.0
1970,0.0,0.0,0.0
1969,0.0,0.0,0.0
1968,0.0,0.0,0.0
1967,0.0,0.0,0.0
1966,0.0,0.0,0.0
1965,0.0,0.0,0.0
1964,0.0,0.0,0.0
1963,0.0,0.0,0.0
1962,0.0,0.0,0.0
1961,0.0,0.0,0.0
1960,0.0,0.0,0.0
1959,0.0,0.0,0.0
1958,0.0,0.0,0.0
1957,0.0,0.0,0.0
1956,0.0,0.0,0.0
1955,0.0,0.0,0.0
1954,0.0,0.0,0.0
1953,0.0,0.0,0.0
1952,0.0,0.0,0.0
1951,0.0,0.0,0.0
1950,0.0,0.0,0.0
1949,0.0,0.0,0.0
